time,little stick shadow lenght (cm),little stick angle (degrees),big stick shadow lenght (cm),big stick angle (degrees),lenght of long stick (cm),lenght of short (cm),thickness of long stick (cm),thickness of small stick (cm),date
11:48:36,22.5,51.5,48.4,51.25,43.6,20.9,1.25,0.4,14/04/2023
12:00:26,21.6,55,46.45,55.5,,,,,
12:19:00,20.7,61,44.4,61.1,,,,,
12:46:30,19.5,70.5,42.25,69,,,,,
12:57:30,19.3,74.5,41.2,74,,,,,
13:20:45,18.7,83,40.2,83,,,,,
13:37:50,NaN,NaN,39.8,89,,,,,
14:02:30,18.8,98,40.45,98,,,,,
14:26:00,19.7,106.5,41.6,106,,,,,
14:45:00,20.3,114,42.6,113,,,,,
15:09:30,21.2(or 21.6),122,45.5,121,,,,,
